GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjektBazowy,default,SudokuBoard,235,0,38,0,36,0,23,0,4,0
ProjektBazowy,default,Greet,79,0,12,0,20,0,10,0,4,0
